Loading pytorch/1.13.1-gpu
  Loading requirement: nvidia/cudnn/8.6.0-cuda-11.6 nvidia/tensorrt/8.4.3.1-u2
    gcc/8.2.0 nvidia/nvhpc-nompi/22.2 openmpi/4.1.4-cuda-11.6 python/3.10.8-gpu
    libsndfile/1.0.28
Using device: cpu

MLP(
  (layers): Sequential(
    (0): Linear(in_features=7, out_features=32, bias=True)
    (1): ReLU()
    (2): Linear(in_features=32, out_features=27, bias=True)
  )
)
episode: 164/200, episode end value: 26173.60, duration: 0:00:00.111711
episode: 165/200, episode end value: 16778.34, duration: 0:00:00.112034
episode: 166/200, episode end value: 21827.40, duration: 0:00:00.111109
episode: 167/200, episode end value: 18392.41, duration: 0:00:00.111304
episode: 168/200, episode end value: 18571.07, duration: 0:00:00.111269
episode: 169/200, episode end value: 18592.42, duration: 0:00:00.110904
episode: 170/200, episode end value: 19460.65, duration: 0:00:00.112444
episode: 171/200, episode end value: 17491.02, duration: 0:00:00.111517
episode: 172/200, episode end value: 18356.78, duration: 0:00:00.110959
episode: 173/200, episode end value: 17947.34, duration: 0:00:00.111707
episode: 174/200, episode end value: 18517.13, duration: 0:00:00.111615
episode: 175/200, episode end value: 20793.76, duration: 0:00:00.112270
episode: 176/200, episode end value: 20942.54, duration: 0:00:00.111730
episode: 177/200, episode end value: 17948.20, duration: 0:00:00.111817
episode: 178/200, episode end value: 25365.90, duration: 0:00:00.113677
episode: 179/200, episode end value: 16951.74, duration: 0:00:00.112476
episode: 180/200, episode end value: 18220.24, duration: 0:00:00.111389
episode: 181/200, episode end value: 23753.41, duration: 0:00:00.112229
episode: 182/200, episode end value: 18656.13, duration: 0:00:00.111794
episode: 183/200, episode end value: 20532.95, duration: 0:00:00.112703
episode: 184/200, episode end value: 17083.20, duration: 0:00:00.112469
episode: 185/200, episode end value: 18270.02, duration: 0:00:00.112043
episode: 186/200, episode end value: 18216.82, duration: 0:00:00.111172
episode: 187/200, episode end value: 19352.74, duration: 0:00:00.111554
episode: 188/200, episode end value: 18923.17, duration: 0:00:00.111765
episode: 189/200, episode end value: 17946.79, duration: 0:00:00.111968
episode: 190/200, episode end value: 27457.07, duration: 0:00:00.111936
episode: 191/200, episode end value: 18561.26, duration: 0:00:00.111208
episode: 192/200, episode end value: 18952.18, duration: 0:00:00.111646
episode: 193/200, episode end value: 21756.15, duration: 0:00:00.111639
episode: 194/200, episode end value: 18318.10, duration: 0:00:00.111125
episode: 195/200, episode end value: 21347.97, duration: 0:00:00.113798
episode: 196/200, episode end value: 18140.42, duration: 0:00:00.121813
episode: 197/200, episode end value: 17493.63, duration: 0:00:00.112448
episode: 198/200, episode end value: 18600.17, duration: 0:00:00.111341
episode: 199/200, episode end value: 17620.48, duration: 0:00:00.111645
episode: 200/200, episode end value: 18356.78, duration: 0:00:00.110871
