Loading pytorch/1.13.1-gpu
  Loading requirement: gcc/8.2.0 nvidia/nvhpc-nompi/22.2
    nvidia/cudnn/8.6.0-cuda-11.6 openmpi/4.1.4-cuda-11.6 python/3.10.8-gpu
    nvidia/tensorrt/8.4.3.1-u2
episode: 201/2000, episode end value: 40748.91, duration: 0:00:00.778681
episode: 202/2000, episode end value: 37500.24, duration: 0:00:00.781187
episode: 203/2000, episode end value: 37324.84, duration: 0:00:00.756141
episode: 204/2000, episode end value: 35640.86, duration: 0:00:00.757534
episode: 205/2000, episode end value: 40854.93, duration: 0:00:00.765350
episode: 206/2000, episode end value: 42006.91, duration: 0:00:00.761764
episode: 207/2000, episode end value: 40857.87, duration: 0:00:00.768011
episode: 208/2000, episode end value: 39875.24, duration: 0:00:00.758325
episode: 209/2000, episode end value: 39968.41, duration: 0:00:00.755506
episode: 210/2000, episode end value: 36746.53, duration: 0:00:00.759060
episode: 211/2000, episode end value: 44448.01, duration: 0:00:00.772511
episode: 212/2000, episode end value: 44393.78, duration: 0:00:00.769199
episode: 213/2000, episode end value: 45536.34, duration: 0:00:00.762810
episode: 214/2000, episode end value: 43254.10, duration: 0:00:00.775134
episode: 215/2000, episode end value: 42273.70, duration: 0:00:00.780508
episode: 216/2000, episode end value: 40905.10, duration: 0:00:00.757484
episode: 217/2000, episode end value: 38748.38, duration: 0:00:00.753241
episode: 218/2000, episode end value: 42635.28, duration: 0:00:00.757425
episode: 219/2000, episode end value: 41789.42, duration: 0:00:00.755412
episode: 220/2000, episode end value: 37713.37, duration: 0:00:00.753780
episode: 221/2000, episode end value: 37959.42, duration: 0:00:00.757646
episode: 222/2000, episode end value: 37510.77, duration: 0:00:00.772924
episode: 223/2000, episode end value: 47077.59, duration: 0:00:00.772447
episode: 224/2000, episode end value: 48424.00, duration: 0:00:00.786759
episode: 225/2000, episode end value: 42924.67, duration: 0:00:00.767482
episode: 226/2000, episode end value: 39389.58, duration: 0:00:00.772511
episode: 227/2000, episode end value: 42799.76, duration: 0:00:00.761728
episode: 228/2000, episode end value: 43124.02, duration: 0:00:00.767061
episode: 229/2000, episode end value: 40568.05, duration: 0:00:00.769686
episode: 230/2000, episode end value: 44412.30, duration: 0:00:00.777492
episode: 231/2000, episode end value: 46854.82, duration: 0:00:00.766564
episode: 232/2000, episode end value: 44056.56, duration: 0:00:00.781835
episode: 233/2000, episode end value: 39012.00, duration: 0:00:00.780718
episode: 234/2000, episode end value: 39510.96, duration: 0:00:00.763385
episode: 235/2000, episode end value: 42007.52, duration: 0:00:00.783735
episode: 236/2000, episode end value: 35995.18, duration: 0:00:00.777509
episode: 237/2000, episode end value: 48421.14, duration: 0:00:00.797720
episode: 238/2000, episode end value: 40955.47, duration: 0:00:00.796655
episode: 239/2000, episode end value: 49714.16, duration: 0:00:00.786142
episode: 240/2000, episode end value: 42558.01, duration: 0:00:00.767322
episode: 241/2000, episode end value: 48425.71, duration: 0:00:00.789262
episode: 242/2000, episode end value: 42999.73, duration: 0:00:00.788962
episode: 243/2000, episode end value: 50685.26, duration: 0:00:00.784099
episode: 244/2000, episode end value: 49957.35, duration: 0:00:00.790402
episode: 245/2000, episode end value: 47392.14, duration: 0:00:00.784455
episode: 246/2000, episode end value: 54070.70, duration: 0:00:00.783159
episode: 247/2000, episode end value: 47553.10, duration: 0:00:00.788245
episode: 248/2000, episode end value: 46403.79, duration: 0:00:00.766852
episode: 249/2000, episode end value: 44989.03, duration: 0:00:00.781323
episode: 250/2000, episode end value: 40788.52, duration: 0:00:00.794580
episode: 251/2000, episode end value: 45671.28, duration: 0:00:00.775799
episode: 252/2000, episode end value: 45493.62, duration: 0:00:00.771960
episode: 253/2000, episode end value: 43312.26, duration: 0:00:00.797024
episode: 254/2000, episode end value: 46758.17, duration: 0:00:00.780297
